id:START_ID,id:END_ID
3,42
3,36
3,30
3,24
3,18
3,12
3,6
50,59
50,53
67,196
67,202
67,184
67,190
67,172
67,178
67,152
67,164
67,158
67,140
67,146
67,126
67,120
67,134
67,106
67,114
67,100
67,94
67,88
67,76
67,82
67,70
210,611
210,599
210,605
210,551
210,557
210,539
210,545
210,585
210,593
210,565
210,571
210,579
210,499
210,493
210,487
210,481
210,475
210,533
210,525
210,519
210,513
210,507
210,437
210,219
210,225
210,231
210,213
210,255
210,249
210,261
210,237
210,243
210,283
210,289
210,269
210,275
210,317
210,323
210,311
210,303
210,295
210,349
210,343
210,337
210,329
210,381
210,375
210,369
210,363
210,357
210,413
210,407
210,401
210,393
210,387
210,449
210,457
210,463
210,469
210,419
210,425
210,431
210,443
618,685
618,693
618,705
618,699
618,711
618,717
618,723
618,731
618,629
618,635
618,641
618,647
618,653
618,659
618,665
618,673
618,679
618,621
